Station_Id_C Year_Data Mon_Data Day_Data Hour_Data PRS PRS_Sea WIN_D WIN_S TEM RHU PRE_1h
59287 2016 1 20 9 1010.0000 1018.7000 0.0000 1.4000 12.4000 93.0000 0.0000 
59287 2016 1 20 12 1010.9000 1019.6000 7.0000 1.4000 12.6000 94.0000 0.0000 
59287 2016 1 20 15 1011.2000 1019.9000 317.0000 1.5000 12.6000 94.0000 1.7000 
59287 2016 1 20 18 1010.4000 1019.1000 358.0000 3.3000 12.2000 94.0000 0.0000 
59287 2016 1 20 21 1009.3000 1018.0000 356.0000 2.0000 12.1000 95.0000 0.1000 
59287 2016 1 21 0 1011.2000 1019.9000 359.0000 2.6000 12.0000 94.0000 0.0000 
59287 2016 1 21 3 1012.3000 1021.0000 353.0000 4.4000 12.3000 91.0000 0.0000 
59287 2016 1 21 6 1009.3000 1018.0000 347.0000 4.7000 12.3000 89.0000 0.0000 
59287 2016 1 21 9 1008.9000 1017.6000 0.0000 4.5000 11.8000 88.0000 0.0000 
59287 2016 1 21 12 1010.2000 1018.9000 5.0000 3.9000 11.1000 87.0000 0.0000 
59287 2016 1 21 15 1011.7000 1020.4000 7.0000 2.6000 10.0000 90.0000 0.0000 
59287 2016 1 21 18 1010.9000 1019.6000 1.0000 3.3000 9.3000 90.0000 0.0000 
59287 2016 1 21 21 1009.9000 1018.6000 355.0000 2.6000 8.9000 93.0000 0.0000 
59287 2016 1 22 0 1011.7000 1020.5000 336.0000 2.4000 8.3000 94.0000 0.1000 
59287 2016 1 22 3 1013.0000 1021.8000 1.0000 7.2000 8.2000 93.0000 0.3000 
59287 2016 1 22 6 1010.9000 1019.7000 0.0000 5.2000 8.3000 91.0000 0.1000 
59287 2016 1 22 9 1012.5000 1021.3000 5.0000 4.2000 7.7000 92.0000 0.1000 
59287 2016 1 22 12 1015.0000 1023.9000 17.0000 4.9000 7.7000 84.0000 0.0000 
59287 2016 1 22 15 1017.5000 1026.4000 356.0000 6.6000 7.1000 75.0000 0.0000 
59287 2016 1 22 18 1017.9000 1026.8000 0.0000 6.2000 7.0000 71.0000 0.0000 
59287 2016 1 22 21 1018.7000 1027.6000 2.0000 9.1000 6.6000 69.0000 0.0000 
59287 2016 1 23 0 1021.9000 1030.9000 358.0000 8.4000 5.3000 71.0000 0.0000 
59287 2016 1 23 3 1023.5000 1032.5000 7.0000 6.5000 4.9000 81.0000 0.1000 
